,gamma,epsilon,c1,c2,k_epoch,actor_lr,critic_lr,episodes,steps,cleaned
0,0.99,0.1,0.5,0.01,40.0,0.0003,0.001,5.0,15.0,38.97435897435897
1,0.99,0.1,0.5,0.01,40.0,0.0003,0.001,5.0,15.0,54.87179487179487
2,0.99,0.1,0.5,0.01,40.0,0.0003,0.001,5.0,15.0,47.179487179487175
3,0.99,0.1,0.5,0.01,40.0,0.0003,0.001,5.0,25.0,48.2051282051282
4,0.99,0.1,0.5,0.01,40.0,0.0003,0.001,5.0,25.0,50.256410256410255
5,0.99,0.1,0.5,0.01,40.0,0.0003,0.001,5.0,25.0,58.46153846153846
6,0.99,0.1,0.5,0.01,40.0,0.0003,0.01,5.0,15.0,55.38461538461538
7,0.99,0.1,0.5,0.01,40.0,0.0003,0.01,5.0,15.0,53.333333333333336
8,0.99,0.1,0.5,0.01,40.0,0.0003,0.01,5.0,15.0,45.64102564102564
9,0.99,0.1,0.5,0.01,40.0,0.0003,0.01,5.0,25.0,45.64102564102564
10,0.99,0.1,0.5,0.01,40.0,0.0003,0.01,5.0,25.0,48.2051282051282
11,0.99,0.1,0.5,0.01,40.0,0.0003,0.01,5.0,25.0,51.7948717948718
12,0.99,0.1,0.5,0.01,40.0,0.001,0.001,5.0,15.0,57.43589743589744
13,0.99,0.1,0.5,0.01,40.0,0.001,0.001,5.0,15.0,70.76923076923077
14,0.99,0.1,0.5,0.01,40.0,0.001,0.001,5.0,15.0,62.05128205128205
15,0.99,0.1,0.5,0.01,40.0,0.001,0.001,5.0,25.0,50.76923076923077
16,0.99,0.1,0.5,0.01,40.0,0.001,0.001,5.0,25.0,59.48717948717949
17,0.99,0.1,0.5,0.01,40.0,0.001,0.001,5.0,25.0,51.7948717948718
18,0.99,0.1,0.5,0.01,40.0,0.001,0.01,5.0,15.0,45.12820512820512
19,0.99,0.1,0.5,0.01,40.0,0.001,0.01,5.0,15.0,41.02564102564102
20,0.99,0.1,0.5,0.01,40.0,0.001,0.01,5.0,15.0,69.74358974358975
21,0.99,0.1,0.5,0.01,40.0,0.001,0.01,5.0,25.0,53.84615384615385
22,0.99,0.1,0.5,0.01,40.0,0.001,0.01,5.0,25.0,56.92307692307692
23,0.99,0.1,0.5,0.01,40.0,0.001,0.01,5.0,25.0,59.48717948717949
24,0.99,0.1,0.5,0.1,40.0,0.0003,0.001,5.0,15.0,62.05128205128205
25,0.99,0.1,0.5,0.1,40.0,0.0003,0.001,5.0,15.0,41.02564102564102
26,0.99,0.1,0.5,0.1,40.0,0.0003,0.001,5.0,15.0,61.53846153846153
27,0.99,0.1,0.5,0.1,40.0,0.0003,0.001,5.0,25.0,42.56410256410257
28,0.99,0.1,0.5,0.1,40.0,0.0003,0.001,5.0,25.0,44.61538461538461
29,0.99,0.1,0.5,0.1,40.0,0.0003,0.001,5.0,25.0,54.87179487179487
30,0.99,0.1,0.5,0.1,40.0,0.0003,0.01,5.0,15.0,41.02564102564102
31,0.99,0.1,0.5,0.1,40.0,0.0003,0.01,5.0,15.0,31.282051282051285
32,0.99,0.1,0.5,0.1,40.0,0.0003,0.01,5.0,15.0,43.58974358974359
33,0.99,0.1,0.5,0.1,40.0,0.0003,0.01,5.0,25.0,48.2051282051282
34,0.99,0.1,0.5,0.1,40.0,0.0003,0.01,5.0,25.0,45.12820512820512
35,0.99,0.1,0.5,0.1,40.0,0.0003,0.01,5.0,25.0,42.56410256410257
36,0.99,0.1,0.5,0.1,40.0,0.001,0.001,5.0,15.0,52.820512820512825
37,0.99,0.1,0.5,0.1,40.0,0.001,0.001,5.0,15.0,22.051282051282044
38,0.99,0.1,0.5,0.1,40.0,0.001,0.001,5.0,15.0,48.2051282051282
39,0.99,0.1,0.5,0.1,40.0,0.001,0.001,5.0,25.0,47.179487179487175
40,0.99,0.1,0.5,0.1,40.0,0.001,0.001,5.0,25.0,51.7948717948718
41,0.99,0.1,0.5,0.1,40.0,0.001,0.001,5.0,25.0,9.743589743589736
42,0.99,0.1,0.5,0.1,40.0,0.001,0.01,5.0,15.0,29.230769230769223
43,0.99,0.1,0.5,0.1,40.0,0.001,0.01,5.0,15.0,31.282051282051285
44,0.99,0.1,0.5,0.1,40.0,0.001,0.01,5.0,15.0,55.8974358974359
45,0.99,0.1,0.5,0.1,40.0,0.001,0.01,5.0,25.0,9.743589743589736
46,0.99,0.1,0.5,0.1,40.0,0.001,0.01,5.0,25.0,56.92307692307692
47,0.99,0.1,0.5,0.1,40.0,0.001,0.01,5.0,25.0,13.333333333333329
48,0.99,0.1,0.1,0.01,40.0,0.0003,0.001,5.0,15.0,50.76923076923077
49,0.99,0.1,0.1,0.01,40.0,0.0003,0.001,5.0,15.0,56.41025641025641
50,0.99,0.1,0.1,0.01,40.0,0.0003,0.001,5.0,15.0,56.92307692307692
51,0.99,0.1,0.1,0.01,40.0,0.0003,0.001,5.0,25.0,61.53846153846153
52,0.99,0.1,0.1,0.01,40.0,0.0003,0.001,5.0,25.0,55.38461538461538
53,0.99,0.1,0.1,0.01,40.0,0.0003,0.001,5.0,25.0,41.02564102564102
54,0.99,0.1,0.1,0.01,40.0,0.0003,0.01,5.0,15.0,48.2051282051282
55,0.99,0.1,0.1,0.01,40.0,0.0003,0.01,5.0,15.0,53.84615384615385
56,0.99,0.1,0.1,0.01,40.0,0.0003,0.01,5.0,15.0,44.61538461538461
57,0.99,0.1,0.1,0.01,40.0,0.0003,0.01,5.0,25.0,47.179487179487175
58,0.99,0.1,0.1,0.01,40.0,0.0003,0.01,5.0,25.0,55.8974358974359
59,0.99,0.1,0.1,0.01,40.0,0.0003,0.01,5.0,25.0,55.8974358974359
60,0.99,0.1,0.1,0.01,40.0,0.001,0.001,5.0,15.0,43.58974358974359
61,0.99,0.1,0.1,0.01,40.0,0.001,0.001,5.0,15.0,44.1025641025641
62,0.99,0.1,0.1,0.01,40.0,0.001,0.001,5.0,15.0,59.48717948717949
63,0.99,0.1,0.1,0.01,40.0,0.001,0.001,5.0,25.0,38.97435897435897
64,0.99,0.1,0.1,0.01,40.0,0.001,0.001,5.0,25.0,50.256410256410255
65,0.99,0.1,0.1,0.01,40.0,0.001,0.001,5.0,25.0,49.23076923076923
66,0.99,0.1,0.1,0.01,40.0,0.001,0.01,5.0,15.0,51.7948717948718
67,0.99,0.1,0.1,0.01,40.0,0.001,0.01,5.0,15.0,58.97435897435898
68,0.99,0.1,0.1,0.01,40.0,0.001,0.01,5.0,15.0,58.46153846153846
69,0.99,0.1,0.1,0.01,40.0,0.001,0.01,5.0,25.0,43.58974358974359
70,0.99,0.1,0.1,0.01,40.0,0.001,0.01,5.0,25.0,49.23076923076923
