,gamma,alpha,episodes,steps,cleaned
0,0.9,0.001,20.0,40.0,42.05128205128205
1,0.9,0.001,20.0,40.0,30.256410256410263
2,0.9,0.001,20.0,40.0,44.61538461538461
3,0.9,0.001,20.0,60.0,36.410256410256416
4,0.9,0.001,20.0,60.0,32.30769230769231
5,0.9,0.001,20.0,60.0,42.56410256410257
6,0.9,0.001,20.0,100.0,38.46153846153846
7,0.9,0.001,20.0,100.0,37.94871794871795
8,0.9,0.001,20.0,100.0,42.05128205128205
9,0.9,0.001,40.0,40.0,36.92307692307693
10,0.9,0.001,40.0,40.0,38.97435897435897
11,0.9,0.001,40.0,40.0,34.358974358974365
12,0.9,0.001,40.0,60.0,33.33333333333334
13,0.9,0.001,40.0,60.0,44.1025641025641
14,0.9,0.001,40.0,60.0,41.53846153846153
15,0.9,0.001,40.0,100.0,34.87179487179488
16,0.9,0.001,40.0,100.0,39.48717948717949
17,0.9,0.001,40.0,100.0,42.05128205128205
18,0.9,0.001,60.0,40.0,35.8974358974359
19,0.9,0.001,60.0,40.0,35.8974358974359
20,0.9,0.001,60.0,40.0,34.87179487179488
21,0.9,0.001,60.0,60.0,27.179487179487182
22,0.9,0.001,60.0,60.0,44.61538461538461
23,0.9,0.001,60.0,60.0,44.1025641025641
24,0.9,0.001,60.0,100.0,33.33333333333334
25,0.9,0.001,60.0,100.0,35.38461538461539
26,0.9,0.001,60.0,100.0,35.8974358974359
27,0.9,0.01,20.0,40.0,40.0
28,0.9,0.01,20.0,40.0,42.56410256410257
29,0.9,0.01,20.0,40.0,38.97435897435897
30,0.9,0.01,20.0,60.0,41.02564102564102
31,0.9,0.01,20.0,60.0,39.48717948717949
32,0.9,0.01,20.0,60.0,40.0
33,0.9,0.01,20.0,100.0,41.02564102564102
34,0.9,0.01,20.0,100.0,36.410256410256416
35,0.9,0.01,20.0,100.0,31.7948717948718
36,0.9,0.01,40.0,40.0,33.846153846153854
37,0.9,0.01,40.0,40.0,36.410256410256416
38,0.9,0.01,40.0,40.0,37.43589743589744
39,0.9,0.01,40.0,60.0,34.87179487179488
40,0.9,0.01,40.0,60.0,46.66666666666666
41,0.9,0.01,40.0,60.0,37.43589743589744
42,0.9,0.01,40.0,100.0,37.43589743589744
43,0.9,0.01,40.0,100.0,46.66666666666666
44,0.9,0.01,40.0,100.0,35.8974358974359
45,0.9,0.01,60.0,40.0,42.56410256410257
46,0.9,0.01,60.0,40.0,42.05128205128205
47,0.9,0.01,60.0,40.0,49.74358974358975
48,0.9,0.01,60.0,60.0,41.02564102564102
49,0.9,0.01,60.0,60.0,42.56410256410257
50,0.9,0.01,60.0,60.0,42.05128205128205
51,0.9,0.01,60.0,100.0,32.82051282051283
52,0.9,0.01,60.0,100.0,41.53846153846153
53,0.9,0.01,60.0,100.0,31.7948717948718
54,0.9,0.1,20.0,40.0,42.56410256410257
55,0.9,0.1,20.0,40.0,44.1025641025641
56,0.9,0.1,20.0,40.0,48.2051282051282
57,0.9,0.1,20.0,60.0,44.61538461538461
58,0.9,0.1,20.0,60.0,44.61538461538461
59,0.9,0.1,20.0,60.0,43.07692307692308
60,0.9,0.1,20.0,100.0,61.53846153846153
61,0.9,0.1,20.0,100.0,57.43589743589744
62,0.9,0.1,20.0,100.0,48.71794871794872
63,0.9,0.1,40.0,40.0,45.64102564102564
64,0.9,0.1,40.0,40.0,53.84615384615385
65,0.9,0.1,40.0,40.0,38.46153846153846
66,0.9,0.1,40.0,60.0,52.30769230769231
67,0.9,0.1,40.0,60.0,50.256410256410255
68,0.9,0.1,40.0,60.0,49.23076923076923
69,0.9,0.1,40.0,100.0,43.58974358974359
